Timestamp,Instrument,Side,Quantity,Price
2022-11-01 09:15:00,NIFTY 2022-11-03 18150.0 CE,BUY,1,62.25
2022-11-01 09:15:00,NIFTY 2022-11-03 18150.0 PE,BUY,1,118.75
2022-11-01 09:15:00,BANKNIFTY 2022-11-03 41600.0 CE,BUY,1,242.0
2022-11-01 09:15:00,BANKNIFTY 2022-11-03 41600.0 PE,BUY,1,414.15
2022-11-01 09:15:40,BANKNIFTY 2022-11-03 41600.0 CE,SELL,1,264.8
2022-11-01 09:15:40,BANKNIFTY 2022-11-03 41600.0 PE,SELL,1,338.65
2022-11-01 09:15:40,BANKNIFTY 2022-11-03 41700.0 CE,BUY,1,219.95
2022-11-01 09:15:40,BANKNIFTY 2022-11-03 41700.0 PE,BUY,1,395.65
2022-11-01 09:15:58,BANKNIFTY 2022-11-03 41700.0 CE,SELL,1,216.15
2022-11-01 09:15:58,BANKNIFTY 2022-11-03 41700.0 PE,SELL,1,403.35
2022-11-01 09:15:58,BANKNIFTY 2022-11-03 41600.0 CE,BUY,1,263.25
2022-11-01 09:15:58,BANKNIFTY 2022-11-03 41600.0 PE,BUY,1,346.5
2022-11-01 09:16:01,BANKNIFTY 2022-11-03 41600.0 CE,SELL,1,255.75
2022-11-01 09:16:01,BANKNIFTY 2022-11-03 41600.0 PE,SELL,1,343.35
2022-11-01 09:16:01,BANKNIFTY 2022-11-03 41700.0 CE,BUY,1,210.05
2022-11-01 09:16:01,BANKNIFTY 2022-11-03 41700.0 PE,BUY,1,397.2
2022-11-01 09:16:02,BANKNIFTY 2022-11-03 41700.0 CE,SELL,1,212.55
2022-11-01 09:16:02,BANKNIFTY 2022-11-03 41700.0 PE,SELL,1,400.05
2022-11-01 09:16:02,BANKNIFTY 2022-11-03 41600.0 CE,BUY,1,258.3
2022-11-01 09:16:02,BANKNIFTY 2022-11-03 41600.0 PE,BUY,1,344.55
2022-11-01 09:16:07,BANKNIFTY 2022-11-03 41600.0 CE,SELL,1,261.45
2022-11-01 09:16:07,BANKNIFTY 2022-11-03 41600.0 PE,SELL,1,343.65
2022-11-01 09:16:07,BANKNIFTY 2022-11-03 41700.0 CE,BUY,1,214.15
2022-11-01 09:16:07,BANKNIFTY 2022-11-03 41700.0 PE,BUY,1,397.3
2022-11-01 09:16:09,BANKNIFTY 2022-11-03 41700.0 CE,SELL,1,215.15
2022-11-01 09:16:09,BANKNIFTY 2022-11-03 41700.0 PE,SELL,1,398.2
2022-11-01 09:16:09,BANKNIFTY 2022-11-03 41600.0 CE,BUY,1,261.2
2022-11-01 09:16:09,BANKNIFTY 2022-11-03 41600.0 PE,BUY,1,341.75
2022-11-01 09:16:11,BANKNIFTY 2022-11-03 41600.0 CE,SELL,1,258.55
2022-11-01 09:16:11,BANKNIFTY 2022-11-03 41600.0 PE,SELL,1,344.3
2022-11-01 09:16:11,BANKNIFTY 2022-11-03 41700.0 CE,BUY,1,214.95
2022-11-01 09:16:11,BANKNIFTY 2022-11-03 41700.0 PE,BUY,1,397.75
2022-11-01 09:16:12,BANKNIFTY 2022-11-03 41700.0 CE,SELL,1,212.75
2022-11-01 09:16:12,BANKNIFTY 2022-11-03 41700.0 PE,SELL,1,400.65
2022-11-01 09:16:12,BANKNIFTY 2022-11-03 41600.0 CE,BUY,1,258.6
2022-11-01 09:16:12,BANKNIFTY 2022-11-03 41600.0 PE,BUY,1,344.3
2022-11-01 09:16:14,BANKNIFTY 2022-11-03 41600.0 CE,SELL,1,259.15
2022-11-01 09:16:14,BANKNIFTY 2022-11-03 41600.0 PE,SELL,1,342.6
2022-11-01 09:16:14,BANKNIFTY 2022-11-03 41700.0 CE,BUY,1,213.85
2022-11-01 09:16:14,BANKNIFTY 2022-11-03 41700.0 PE,BUY,1,397.55
2022-11-01 09:16:17,BANKNIFTY 2022-11-03 41700.0 CE,SELL,1,211.85
2022-11-01 09:16:17,BANKNIFTY 2022-11-03 41700.0 PE,SELL,1,400.3
2022-11-01 09:16:17,BANKNIFTY 2022-11-03 41600.0 CE,BUY,1,258.1
2022-11-01 09:16:17,BANKNIFTY 2022-11-03 41600.0 PE,BUY,1,346.65
2022-11-01 09:16:19,BANKNIFTY 2022-11-03 41600.0 CE,SELL,1,258.5
2022-11-01 09:16:19,BANKNIFTY 2022-11-03 41600.0 PE,SELL,1,342.7
2022-11-01 09:16:19,BANKNIFTY 2022-11-03 41700.0 CE,BUY,1,213.9
2022-11-01 09:16:19,BANKNIFTY 2022-11-03 41700.0 PE,BUY,1,396.6
2022-11-01 09:16:25,BANKNIFTY 2022-11-03 41700.0 CE,SELL,1,212.2
2022-11-01 09:16:25,BANKNIFTY 2022-11-03 41700.0 PE,SELL,1,401.45
2022-11-01 09:16:25,BANKNIFTY 2022-11-03 41600.0 CE,BUY,1,257.75
2022-11-01 09:16:25,BANKNIFTY 2022-11-03 41600.0 PE,BUY,1,345.95
2022-11-01 09:31:57,BANKNIFTY 2022-11-03 41600.0 CE,SELL,1,251.95
2022-11-01 09:31:57,BANKNIFTY 2022-11-03 41600.0 PE,SELL,1,335.15
2022-11-01 09:31:57,BANKNIFTY 2022-11-03 41700.0 CE,BUY,1,204.7
2022-11-01 09:31:57,BANKNIFTY 2022-11-03 41700.0 PE,BUY,1,389.2
2022-11-01 09:32:00,BANKNIFTY 2022-11-03 41700.0 CE,SELL,1,205.7
2022-11-01 09:32:00,BANKNIFTY 2022-11-03 41700.0 PE,SELL,1,389.55
2022-11-01 09:32:00,BANKNIFTY 2022-11-03 41600.0 CE,BUY,1,250.45
2022-11-01 09:32:00,BANKNIFTY 2022-11-03 41600.0 PE,BUY,1,335.05
2022-11-01 09:32:08,BANKNIFTY 2022-11-03 41600.0 CE,SELL,1,252.5
2022-11-01 09:32:08,BANKNIFTY 2022-11-03 41600.0 PE,SELL,1,333.2
2022-11-01 09:32:08,BANKNIFTY 2022-11-03 41700.0 CE,BUY,1,206.2
2022-11-01 09:32:08,BANKNIFTY 2022-11-03 41700.0 PE,BUY,1,386.05
2022-11-01 09:32:13,BANKNIFTY 2022-11-03 41700.0 CE,SELL,1,205.95
2022-11-01 09:32:13,BANKNIFTY 2022-11-03 41700.0 PE,SELL,1,387.9
2022-11-01 09:32:13,BANKNIFTY 2022-11-03 41600.0 CE,BUY,1,251.95
2022-11-01 09:32:13,BANKNIFTY 2022-11-03 41600.0 PE,BUY,1,333.95
2022-11-01 09:32:25,BANKNIFTY 2022-11-03 41600.0 CE,SELL,1,252.8
2022-11-01 09:32:25,BANKNIFTY 2022-11-03 41600.0 PE,SELL,1,332.1
2022-11-01 09:32:25,BANKNIFTY 2022-11-03 41700.0 CE,BUY,1,206.15
2022-11-01 09:32:25,BANKNIFTY 2022-11-03 41700.0 PE,BUY,1,386.05
2022-11-01 09:33:00,BANKNIFTY 2022-11-03 41700.0 CE,SELL,1,203.75
2022-11-01 09:33:00,BANKNIFTY 2022-11-03 41700.0 PE,SELL,1,387.65
2022-11-01 09:33:00,BANKNIFTY 2022-11-03 41600.0 CE,BUY,1,250.8
